variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
epi_deaths,JOR,,,5,8,9,9,11,15,57,345
epi_deaths,JPN,,3,56,415,891,972,1005,1279,1564,1674
epi_deaths,KAB,,,,,,,,,,
epi_deaths,KAS,,,,,,,,,,
epi_deaths,KAZ,,,1,25,38,188,793,1781,2078,2150
epi_deaths,KEN,,,1,15,63,144,325,574,707,832
epi_deaths,KGZ,,,,8,16,57,1378,1058,1064,1111
epi_deaths,KHM,,,,,,,,,,
epi_deaths,KIR,,,,,,,,,,
epi_deaths,KNA,,,,,,,,,,
epi_deaths,KOR,,16,163,247,270,282,301,324,413,444
epi_deaths,KOS,,,,,,,,,,
epi_deaths,KWT,,,,24,205,350,445,530,607,701
epi_deaths,LAO,,,,,,,,,,
epi_deaths,LBN,,,11,24,26,34,57,160,361,520
epi_deaths,LBR,,,,16,27,36,73,82,82,82
epi_deaths,LBY,,,,2,5,21,71,232,540,725
epi_deaths,LCA,,,,,,,,,,
epi_deaths,LIE,,,,1,1,1,1,1,1,1
epi_deaths,LKA,,,1,7,10,11,11,12,13,13
epi_deaths,LSO,,,,,,,13,31,35,42
epi_deaths,LTU,,,7,45,70,78,80,86,92,113
epi_deaths,LUX,,,22,89,110,110,114,124,124,133
epi_deaths,LVA,,,,15,24,30,31,34,37,42
epi_deaths,MAC,,,,,,,,,,
epi_deaths,MAF,,,,,,,,,,
epi_deaths,MAR,,,33,168,204,225,346,1111,2152,2928
epi_deaths,MCO,,,,1,1,1,1,1,1,1
epi_deaths,MDA,,,2,111,291,536,771,992,1310,1584
epi_deaths,MDG,,,,,6,20,105,191,229,238
epi_deaths,MDV,,,,,5,8,16,28,34,37
epi_deaths,MEX,,,28,1732,9779,27121,46000,64158,77163,86167
epi_deaths,MHL,,,,,,,,,,
epi_deaths,MKD,,,7,73,131,298,480,584,737,834
epi_deaths,MLI,,,,25,76,115,124,126,130,132
epi_deaths,MLT,,,,4,9,9,9,11,34,45
epi_deaths,MMR,,,,6,6,6,6,6,284,880
epi_deaths,MNE,,,1,7,9,11,48,98,164,236
epi_deaths,MNG,,,,,,,,,,
epi_deaths,MNP,,,,2,2,2,2,2,2,2
epi_deaths,MOZ,,,,,2,6,11,23,59,75
epi_deaths,MRT,,,,1,21,126,156,159,161,163
epi_deaths,MSR,,,,1,1,1,1,1,1,1
epi_deaths,MUS,,,3,10,10,10,10,10,10,10
epi_deaths,MWI,,,,3,4,14,109,174,179,181
epi_deaths,MYS,,,37,100,115,121,124,126,134,187
epi_deaths,NAM,,,,,,,10,72,121,131
epi_deaths,NCL,,,,,,,,,,
epi_deaths,NER,,,3,32,64,67,69,69,69,69
epi_deaths,NFK,,,,,,,,,,
epi_deaths,NGA,,,2,51,273,573,878,1013,1111,1125
epi_deaths,NIC,,,1,4,35,74,116,137,151,154
epi_deaths,NIU,,,,,,,,,,
epi_deaths,NLD,,,864,4711,5951,6107,6140,6215,6384,6751
epi_deaths,NOR,,,26,202,236,249,255,264,274,278
epi_deaths,NPL,,,,,6,29,52,221,491,739
epi_deaths,NRU,,,,,,,,,,
epi_deaths,NZL,,,1,19,22,22,22,22,25,25
epi_deaths,OMN,,,,10,42,169,421,677,935,1101
epi_deaths,PAK,,,18,346,1483,4304,5951,6294,6479,6659
epi_deaths,PAN,,,26,178,330,620,1397,1995,2364,2564
epi_deaths,PCN,,,,,,,,,,
epi_deaths,PER,,,24,943,4371,9504,19021,28788,32396,33759
epi_deaths,PGA,,,,,,,,,,
epi_deaths,PHL,,1,88,558,950,1255,1983,3520,5448,6652
epi_deaths,PLW,,,,,,,,,,
epi_deaths,PNG,,,,,,,2,5,7,7
epi_deaths,POL,,,31,624,1061,1444,1709,2033,2483,3573
epi_deaths,PRI,,,6,86,133,153,214,434,654,766
epi_deaths,PRK,,,,,,,,,,
epi_deaths,PRT,,,140,989,1396,1568,1727,1819,1963,2181
epi_deaths,PRY,,,3,9,11,16,47,308,841,1188
epi_deaths,PSX,,,1,2,5,8,84,166,360,479
epi_deaths,PYF,,,,,,,,,7,14
epi_deaths,QAT,,,1,10,36,113,171,197,214,224
epi_deaths,ROU,,,44,675,1253,1634,2304,3578,4792,5872
epi_deaths,RUS,,,10,972,4555,9166,13802,17093,20545,24187
epi_deaths,RWA,,,,,1,2,5,16,29,34
epi_deaths,SAH,,,,,1,1,1,1,1,1
epi_deaths,SAU,,,8,157,480,1599,2866,3870,4739,5185
epi_deaths,SCR,,,,,,,,,,
epi_deaths,SDN,,,2,28,262,572,725,823,836,836
epi_deaths,SDS,,,,,10,37,46,47,49,55
epi_deaths,SEN,,,,9,42,108,204,284,310,317
epi_deaths,SER,,,,,,,,,,
epi_deaths,SGP,,,3,14,23,26,27,27,27,28
epi_deaths,SGS,,,,,,,,,,
epi_deaths,SHN,,,,,,,,,,
epi_deaths,SLB,,,,,,,,,,
epi_deaths,SLE,,,,4,46,60,67,70,72,73
epi_deaths,SLV,,,,9,46,164,439,717,843,922
epi_deaths,SMR,,,25,41,42,42,42,42,42,42
epi_deaths,SOL,,,,,,,,,,
epi_deaths,SOM,,,,28,73,90,93,97,99,99
epi_deaths,SPM,,,,,,,,,,
epi_deaths,SRB,,,16,173,242,274,565,711,749,776
epi_deaths,STP,,,,,12,13,15,15,15,15
epi_deaths,SUR,,,,1,1,13,26,67,104,109
epi_deaths,SVK,,,,22,28,28,28,33,45,88
epi_deaths,SVN,,,11,89,108,111,117,128,138,161
epi_deaths,SWE,,,245,2721,4555,5465,5756,5831,5883,5918
epi_deaths,SWZ,,,,1,2,11,40,91,108,116
epi_deaths,SXM,,,,13,15,15,15,17,22,22
epi_deaths,SYC,,,,,,,,,,
epi_deaths,SYR,,,2,3,4,9,41,109,197,248
epi_deaths,TCA,,,,1,1,1,2,3,6,6
epi_deaths,TCD,,,,2,65,74,75,77,85,93
epi_deaths,TGO,,,1,7,13,14,18,27,48,51
epi_deaths,THA,,,10,54,57,58,58,58,59,59
epi_deaths,TJK,,,,,47,52,60,68,75,80
epi_deaths,TKM,,,,,,,,,,
epi_deaths,TLS,,,,,,,,,,
epi_deaths,TON,,,,,,,,,,
epi_deaths,TTO,,,3,8,8,8,8,21,74,96
epi_deaths,TUN,,,8,40,48,50,50,76,246,626
epi_deaths,TUR,,,168,3081,4515,5115,5674,6326,8130,9296
epi_deaths,TUV,,,,,,,,,,
epi_deaths,TWN,,1,5,6,7,7,7,7,7,7
epi_deaths,TZA,,,1,16,21,21,21,21,21,21
epi_deaths,UGA,,,,,,,2,30,75,97
epi_deaths,UKR,,,11,250,696,1147,1673,2527,4065,5673
epi_deaths,UMI,,,,,,,,,,
epi_deaths,URY,,,1,15,22,27,35,44,48,51
epi_deaths,USA,,,3170,60966,103781,126140,152070,183069,205998,219674
epi_deaths,USG,,,,,,,,,,
epi_deaths,UZB,,,2,9,14,24,137,317,468,529
epi_deaths,VAT,,,,,,,,,,
epi_deaths,VCT,,,,,,,,,,
epi_deaths,VEN,,,3,10,14,48,158,381,621,736
epi_deaths,VGB,,,,1,1,1,1,1,1,1
epi_deaths,VIR,,,,4,6,6,8,14,20,21
epi_deaths,VNM,,,,,,,,32,35,35
epi_deaths,VUT,,,,,,,,,,
epi_deaths,WLF,,,,,,,,,,
epi_deaths,WSB,,,,,,,,,,
epi_deaths,WSM,,,,,,,,,,
epi_deaths,YEM,,,,,77,304,487,564,588,597
epi_deaths,ZAF,,,3,103,643,2529,7812,14028,16667,18471
epi_deaths,ZMB,,,,3,7,22,149,287,332,346
epi_deaths,ZWE,,,1,4,4,7,53,196,228,231
